Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015),Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
35033,Haldimand--Norfolk,44.1,36.6,13.6,0.0,3.3,2.4,50.9,24.9,20.0,0.0,3.3,0.9
35034,Haliburton--Kawartha Lakes--Brock,44.8,31.8,19.4,0.0,4,0.0,60,12.9,22.1,0.0,5.0,0.0
35035,Hamilton Centre,14.6,33.4,45.6,0.0,4.3,2.1,23.5,13.1,60.3,0.0,0.5,2.7
35036,Hamilton East--Stoney Creek,25.3,39,32.7,0.0,2.6,0.4,36.9,13.6,44.3,0.0,2.8,2.4
35037,Hamilton Mountain,25.7,33.5,35.9,0.0,2.5,2.4,32.3,15.6,48.4,0.0,2.8,0.8
35038,Hamilton West--Ancaster--Dundas,31.8,47.7,16.3,0.0,4.2,0.0,42.4,24.9,28.2,0.0,3.7,0.0
35039,Hastings--Lennox and Addington,41.9,42.4,12.7,0.0,2.9,0.0,54.9,17.1,24.0,0.0,3.4,0.0
35040,Huron--Bruce,44.9,39.7,13,0.0,2.4,0.0,54.9,16.5,25.3,0.0,2.7,0.0
35041,Kanata--Carleton,39.2,51.3,6.8,0.0,2.7,0.0,53.7,26.5,15.3,0.0,4.5,0.0
35042,Kenora,28.5,35.5,33.9,0.0,1.6,0.5,47,21.9,27.9,0.0,2.6,0.6
35043,King--Vaughan,44.2,47.4,6.5,0.0,1.9,0.0,57.1,27.5,12.3,0.0,2.7,0.0
35044,Kingston and the Islands,22.7,55.4,17,0.0,4.5,0.5,34.1,40.0,21.6,0.0,4.3,0.0
35045,Kitchener Centre,30.4,48.8,16.6,0.0,3.1,1.2,40.4,32.3,21.9,0.0,4.6,0.8
35046,Kitchener--Conestoga,43.3,42.8,9.8,0.0,2.8,1.4,54.4,23.5,18.3,0.0,3.6,0.2
35047,Kitchener South--Hespeler,36.7,42.3,15.6,0.0,3.7,1.8,51.2,18.9,25.8,0.0,4.0,0.1
35048,Lambton--Kent--Middlesex,50.2,29.4,17,0.0,3.3,0.0,57.7,14.2,24.0,0.0,3.3,0.0
35049,Lanark--Frontenac--Kingston,47.9,33.8,14.1,0.0,3.5,0.7,60.1,16.4,18.1,0.0,4.9,0.5
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,47.4,40.6,8.4,0.0,3.7,0.0,60.8,15.9,18.3,0.0,5.0,0.0
35051,London--Fanshawe,27.2,31.4,37.8,0.0,2.9,0.6,33.9,12.0,49.8,0.0,3.0,1.2
35052,London North Centre,31.1,50.5,14.7,0.0,3.6,0.2,37.1,34.2,24.3,0.0,4.0,0.4
35053,London West,35.3,45.8,14.8,0.0,2.8,1.2,45.1,26.7,25.4,0.0,2.7,0.1
35054,Markham--Stouffville,42.8,49.2,6.1,0.0,1.9,0.0,50.5,29.0,17.0,0.0,2.7,0.0
35055,Markham--Thornhill,32.3,55.7,10.7,0.0,1.2,0.0,36.4,37.1,23.4,0.0,2.6,0.0
35056,Markham--Unionville,49.4,43.3,5.1,0.0,2.2,0.0,45.8,33.7,16.5,0.0,3.0,0.0
35057,Milton,45.4,40.4,10.9,0.0,2.3,1,55,24.2,16.5,0.0,3.9,0.4
35058,Mississauga Centre,33.6,54.7,9.5,0.0,2.2,0.0,41.7,36.7,19.0,0.0,2.3,0.0
35059,Mississauga East--Cooksville,35.4,54.2,8.6,0.0,1.5,0.3,43.5,36.2,17.7,0.0,2.2,0.5
35060,Mississauga--Erin Mills,39.2,49.7,9.4,0.0,1.6,0.0,46.6,34.4,16.1,0.0,2.7,0.0
35061,Mississauga--Lakeshore,41.2,47.7,8,0.0,2.4,0.7,46.9,36.9,12.8,0.0,3.1,0.4
35062,Mississauga--Malton,26.4,59.1,12.3,0.0,1.7,0.5,37.4,36.8,23.4,0.0,2.0,0.3
35063,Mississauga--Streetsville,40.4,47.8,9,0.0,2.3,0.5,46.1,35.0,15.2,0.0,3.7,0.0
35064,Nepean,36.1,52.4,8.2,0.0,2.3,0.9,51,27.1,17.8,0.0,4.0,0.0
35065,Newmarket--Aurora,42.6,45.2,8.5,0.0,2.4,1.3,54.1,23.7,15.8,0.0,4.4,2.1
35066,Niagara Centre,29.7,35.7,31.5,0.0,2.4,0.7,39.1,14.4,43.2,0.0,2.5,0.9
35067,Niagara Falls,42.1,34.5,20.9,0.0,2.5,0.0,53.3,18.9,23.5,0.0,3.9,0.0
35068,Niagara West,48.8,32.7,11.5,0.0,3,4,59.5,14.3,19.2,0.0,4.5,2.5
35069,Nickel Belt,16.7,42.8,37.8,0.0,2.5,0.2,28,14.1,55.0,0.0,2.8,0.1
35070,Nipissing--Timiskaming,29.3,51.9,16.2,0.0,2.6,0.0,36.4,36.5,21.1,0.0,6.0,0.0
35071,Northumberland--Peterborough South,39.6,42.5,14.8,0.0,3.1,0.0,53.4,21.1,20.6,0.0,4.7,0.0
35072,Oakville,42.5,49.4,5.9,0.0,2.2,0.0,51.6,30.7,13.9,0.0,3.7,0.0
35073,Oakville North--Burlington,43.3,46.7,7.2,0.0,1.6,1.1,54.2,27.0,15.5,0.0,3.1,0.3
35074,Oshawa,38.2,27.3,31.9,0.0,2.5,0.1,51.1,7.7,37.1,0.0,3.5,0.6
35075,Ottawa Centre,14.5,42.7,38.5,0.0,3,1.3,21.6,20.1,52.2,0.0,5.0,1.1
35076,Orleans,30.5,59.7,8,0.0,1.8,0.0,45.2,38.0,14.0,0.0,2.9,0.0
35077,Ottawa South,24.3,60.1,11.6,0.0,2.9,1.2,33.3,44.0,18.2,0.0,3.0,1.5
35078,Ottawa--Vanier,19.1,57.6,19.2,0.0,3.1,1,27.9,38.1,28.7,0.0,5.1,0.2
35079,Ottawa West--Nepean,30,55.9,9.8,0.0,2.8,1.4,44.7,31.5,19.8,0.0,4.0,0.0
35080,Oxford,45.7,32.2,16.5,0.0,3.5,2.1,59,9.6,25.4,0.0,4.3,1.6
35081,Parkdale--High Park,13,42,40.2,0.0,3,1.7,15.6,32.9,47.2,0.0,3.3,1.1
35082,Parry Sound--Muskoka,43.3,38.9,10.1,0.0,7.2,0.5,55.7,11.5,24.2,0.0,8.1,0.5
35083,Perth--Wellington,42.9,37.6,15,0.0,2.6,1.9,54.5,18.0,21.3,0.0,4.6,1.7
35084,Peterborough--Kawartha,35.1,43.8,18.7,0.0,2.2,0.2,49.6,21.3,25.0,0.0,3.7,0.5
35085,Pickering--Uxbridge,38.2,50.3,9.2,0.0,2.3,0.0,46,33.6,15.7,0.0,4.5,0.0
35086,Renfrew--Nipissing--Pembroke,45.8,32.7,8.6,0.0,1.9,11,53.4,12.7,13.4,0.0,1.7,18.7
35087,Richmond Hill,43.3,46.9,8,0.0,1.7,0.0,43.5,35.6,17.0,0.0,3.8,0.0
35088,Carleton,46.9,43.7,6.1,0.0,3.3,0.0,61.7,20.9,13.3,0.0,4.1,0.0
35089,St. Catharines,37.6,43.2,16.5,0.0,2.6,0.1,50.7,20.7,23.9,0.0,3.8,0.9
35090,Toronto--St. Paul's,27,55.3,14.7,0.0,3,0.0,32.4,39.9,22.6,0.0,4.5,0.0
35091,Sarnia--Lambton,38.8,27.3,31.1,0.0,2.8,0.0,52.6,14.0,29.9,0.0,2.5,0.0
35092,Sault Ste. Marie,31.1,44.8,21.8,0.0,2.1,0.2,40.4,19.7,37.4,0.0,2.1,0.3
35093,Scarborough--Agincourt,38,51.9,7.9,0.0,1.4,0.8,34.1,45.6,18.0,0.0,2.3,0.0
35094,Scarborough Centre,32.7,50.5,11.6,0.0,2.1,3.1,34.9,31.9,30.7,0.0,2.6,0.0
35095,Scarborough--Guildwood,26.5,60,11.3,0.0,1.4,0.7,34.7,35.8,26.7,0.0,2.2,0.6
35096,Scarborough North,27.4,48.2,22.1,0.0,1.5,0.8,33.4,28.9,35.4,0.0,1.6,0.8
35097,Scarborough--Rouge Park,27.4,60.2,10.4,0.0,2,0.0,31.6,34.8,31.0,0.0,2.4,0.0
35098,Scarborough Southwest,21.2,52.5,23.7,0.0,2.6,0.0,31.7,29.3,34.9,0.0,4.1,0.0
35099,Simcoe--Grey,46.6,38.6,9.6,0.0,4.4,0.8,48.4,12.7,17.4,0.0,5.5,15.9
