"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Ontario",35036,"Hamilton East--Stoney Creek",35032,"Hamilton East - Stoney Creek"
"Ontario",35037,"Hamilton Mountain",35033,"Hamilton Mountain"
"Ontario",35038,"Hamilton West--Ancaster--Dundas",35003,"Ancaster - Dundas - Flamborough - Westdale"
"Ontario",35038,"Hamilton West--Ancaster--Dundas",35031,"Hamilton Centre"
"Ontario",35038,"Hamilton West--Ancaster--Dundas",35033,"Hamilton Mountain"
"Ontario",35039,"Hastings--Lennox and Addington",35036,"Kingston and the Islands"
"Ontario",35039,"Hastings--Lennox and Addington",35040,"Lanark - Frontenac - Lennox and Addington"
"Ontario",35039,"Hastings--Lennox and Addington",35073,"Prince Edward - Hastings"
"Ontario",35040,"Huron--Bruce",35034,"Huron - Bruce"
"Ontario",35041,"Kanata--Carleton",35012,"Carleton - Mississippi Mills"
"Ontario",35041,"Kanata--Carleton",35052,"Nepean - Carleton"
"Ontario",35042,"Kenora",35035,"Kenora"
"Ontario",35042,"Kenora",35092,"Timmins - James Bay"
"Ontario",35043,"King--Vaughan",35059,"Oak Ridges - Markham"
"Ontario",35043,"King--Vaughan",35096,"Vaughan"
"Ontario",35044,"Kingston and the Islands",35036,"Kingston and the Islands"
"Ontario",35045,"Kitchener Centre",35037,"Kitchener Centre"
"Ontario",35045,"Kitchener Centre",35039,"Kitchener - Waterloo"
"Ontario",35046,"Kitchener--Conestoga",35037,"Kitchener Centre"
"Ontario",35046,"Kitchener--Conestoga",35038,"Kitchener - Conestoga"
"Ontario",35046,"Kitchener--Conestoga",35039,"Kitchener - Waterloo"
"Ontario",35046,"Kitchener--Conestoga",35098,"Wellington - Halton Hills"
"Ontario",35047,"Kitchener South--Hespeler",35011,"Cambridge"
"Ontario",35047,"Kitchener South--Hespeler",35037,"Kitchener Centre"
"Ontario",35047,"Kitchener South--Hespeler",35038,"Kitchener - Conestoga"
"Ontario",35048,"Lambton--Kent--Middlesex",35013,"Chatham-Kent - Essex"
"Ontario",35048,"Lambton--Kent--Middlesex",35046,"Lambton - Kent - Middlesex"
"Ontario",35049,"Lanark--Frontenac--Kingston",35012,"Carleton - Mississippi Mills"
